derived_msa_md,apps,approvals,approval_rate
30780,15491,7771,0.5016461171002518
30860,2406,1486,0.6176226101413134
30980,3483,2003,0.5750789549239161
31020,1763,1127,0.6392512762336926
31084,65319,35734,0.5470689998315957
31140,25752,16038,0.6227865796831314
31180,7405,3849,0.5197839297771776
31340,4129,2537,0.6144344877694357
31420,3271,1800,0.5502904310608376
31540,9234,6893,0.7464803985271822
31700,5800,3698,0.6375862068965518
31740,2192,1357,0.6190693430656934
31860,1218,874,0.7175697865353038
31900,1775,1180,0.6647887323943662
31924,30123,16827,0.5586097002290609
32420,700,441,0.63
32580,8495,4503,0.5300765155974102
32780,2957,1928,0.6520121745011837
32820,20194,11065,0.5479350302069922
32900,3170,1781,0.5618296529968454
33124,31416,15548,0.49490705373058314
33140,1571,937,0.596435391470401
33220,1139,794,0.6971027216856892
33260,5358,2798,0.5222097797685704
33340,21116,13903,0.6584106838416367
33460,65863,43048,0.6535991376038139
33500,1238,808,0.6526655896607432
33540,1343,787,0.5860014892032762
33660,6226,3651,0.5864118213941536
33700,6328,3682,0.581858407079646
33740,2285,1247,0.5457330415754923
33780,2358,1546,0.6556403731976251
33860,6229,3802,0.6103708460427035
33874,28434,17175,0.6040303861574172
34060,1665,1004,0.603003003003003
34100,1754,1056,0.6020524515393386
34580,1629,1046,0.6421117249846532
34620,1772,1071,0.6044018058690744
34740,2756,1837,0.6665457184325109
34820,11728,6553,0.5587482946793997
34900,1069,659,0.6164639850327409
34940,6777,3772,0.5565884609709311
34980,46609,26726,0.5734085691604626
35004,31828,18802,0.5907377152193037
35084,28862,14855,0.51469059663225
35300,7357,4443,0.6039146391192062
35380,10810,5759,0.5327474560592045
35614,74582,42793,0.5737711512161111
35660,2084,1344,0.6449136276391555
35840,22931,12476,0.5440669835593738
35980,4044,2553,0.6313056379821959
36084,28911,17708,0.612500432361385
36100,12483,6670,0.5343266842906352
36220,3946,1995,0.5055752660922453
36260,12017,7272,0.605142714487809
36420,28179,15410,0.5468611377266759
36500,4727,2953,0.6247091178337212
36540,19362,11829,0.6109389525875426
36740,56860,29787,0.523865634892719
36780,2509,1879,0.7489039457951375
36980,1726,1150,0.6662804171494786
37100,7473,4380,0.586109995985548
37140,1371,739,0.5390226112326769
37340,16646,8749,0.5255917337498498
37460,5348,2947,0.5510471204188482
37620,1027,649,0.631937682570594
37860,13018,7091,0.5447073283146413
37900,5610,3886,0.6926916221033869
37964,26255,15421,0.5873547895638926
38060,99071,57543,0.5808258723541703
38240,2552,1581,0.6195141065830722
38300,33235,20224,0.6085151196028283
38340,1608,1067,0.6635572139303483
38540,1574,999,0.6346886912325286
38660,881,499,0.5664018161180476
38860,8246,5225,0.6336405529953917
38900,37750,23086,0.6115496688741722
38940,15735,7839,0.49818875119161105
39150,3825,2223,0.5811764705882353
39300,21334,13127,0.6153088965969813
39340,15686,9620,0.6132857325003187
39380,3186,1941,0.6092278719397364
39460,6933,3691,0.5323813644886773
39540,2843,1879,0.6609215617305663
39580,33979,19759,0.5815062244327379
39660,2373,1541,0.6493889591234724
39740,5444,3544,0.6509919177075679
39820,2869,1600,0.5576856047403277
39900,8859,5267,0.5945366294164127
40060,26003,15441,0.593816098142522
40140,65662,35807,0.5453230178794433
40220,4892,3091,0.6318479149632052
40340,3597,2474,0.6877953850430915
40380,12691,8012,0.6313135292727129
40420,5208,3150,0.6048387096774194
40484,6282,4124,0.6564788283985992
40580,2119,1266,0.5974516281264748
40660,1661,934,0.5623118603251054
40900,35254,20773,0.589238100641062
40980,2497,1602,0.6415698838606327
41060,3041,2071,0.6810259782966129
41100,4657,2790,0.5990981318445351
41140,2057,1266,0.6154594069032572
41180,50854,29453,0.5791678137412987
41304,15342,8195,0.5341546082648938
41420,5824,3544,0.6085164835164835
41500,2651,1547,0.5835533760844964
41540,1944,1091,0.5612139917695473
41620,21386,12969,0.6064247638642102
41660,2134,1122,0.5257731958762887
41700,63279,32117,0.5075459473126945
41740,32490,18489,0.569067405355494
41780,1428,906,0.634453781512605
41884,10543,6900,0.6544626766574979
41940,17014,10825,0.6362407429175972
41980,12984,7495,0.577248921749846
42020,2757,1616,0.5861443598113892
42034,2176,1410,0.6479779411764706
42100,1569,973,0.6201402166985341
42140,1968,1197,0.6082317073170732
42200,2785,1713,0.61508078994614
42220,4660,2860,0.6137339055793991
42340,8261,4831,0.5847960295363758
42540,6843,4299,0.628233231039018
42644,31386,19375,0.6173134518575161
42680,3566,1868,0.5238362310712282
42700,2016,1052,0.5218253968253969
43100,1460,1059,0.7253424657534246
43300,3803,2072,0.5448330265579805
43340,5685,3086,0.5428320140721196
43420,1929,1084,0.5619491964748574
43580,1784,1231,0.6900224215246636
43620,5544,3658,0.6598124098124099
43640,4970,2624,0.5279678068410463
43780,4837,3175,0.6563985941699401
43900,9969,5653,0.5670578794262213
44060,9344,5947,0.636451198630137
44100,3030,2159,0.7125412541254126
44140,6419,4105,0.6395077114815392
44180,9646,5597,0.5802405142027783
44220,2394,1436,0.5998329156223893
44300,1206,914,0.75787728026534
44420,2262,1368,0.6047745358090185
44700,11630,6568,0.5647463456577816
44940,1886,1105,0.5858960763520679
45060,6958,4581,0.6583788444955447
45104,15123,9480,0.6268597500495934
45220,5978,3109,0.5200736032117765
45294,56757,30384,0.5353348485649347
45460,2320,1475,0.6357758620689655
45500,1703,913,0.5361127422196125
45780,7651,5001,0.6536400470526729
45820,3333,2247,0.6741674167416741
45900,1738,1195,0.687571921749137
45940,5168,2808,0.5433436532507739
46060,19052,10595,0.5561095947931975
46140,18889,10140,0.5368203716448727
46220,3971,2162,0.5444472425081843
46300,2049,1376,0.6715470961444607
46340,3696,2072,0.5606060606060606
46520,8273,5150,0.6225069503203191
46540,2844,1788,0.6286919831223629
46660,2501,1483,0.5929628148740503
46700,6544,3879,0.5927567237163814
47020,1223,652,0.5331152902698283
47220,2116,1141,0.5392249527410208
47260,37887,21884,0.5776123736373954
47300,5123,2933,0.5725161038454031
47380,4283,2414,0.563623628297922
47460,769,470,0.611183355006502
47580,4710,2627,0.5577494692144374
47664,39641,25996,0.6557856764461037
47764,29903,15991,0.534762398421563
47930,6864,4346,0.6331585081585082
47940,2830,2011,0.710600706713781
48060,1368,804,0.5877192982456141
48140,1846,1258,0.6814734561213435
48260,1348,788,0.5845697329376854
48300,1643,1011,0.6153377967133292
48424,23489,12402,0.5279918259610882
48540,1538,907,0.5897269180754227
48620,10855,6517,0.6003684937816675
48660,2429,1298,0.5343762865376698
48680,3408,2311,0.6781103286384976
48700,1201,879,0.7318900915903414
48864,12323,6738,0.5467824393410695
48900,11314,6534,0.5775145837016086
49020,3232,1881,0.5819925742574258
49180,11756,7615,0.6477543382102756
49340,12776,7767,0.6079367564182843
49420,2543,1740,0.6842312229650019
49620,7930,5095,0.6424968474148802
49660,6213,3682,0.5926283598905521
49700,3011,1674,0.5559614745931584
49740,3278,1994,0.6082977425259305
99999,725741,320219,0.44123041140021024
